順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
1323,ピンカイ,Ｌ．ピンカイＪｒ．,ｴﾙ.ﾋﾟﾝｶｲ,"L.Pincay Jr.",外国,79,1946.12.29,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  3(  4)",1,0,0,3,4,25.0,25.0,25.0,00834,,0,,,,,
1324,ヒルズ　,Ｒ．ヒルズ,"ｱｰﾙ ﾋﾙｽﾞ","Richard James Hills",外国,63,1963. 1.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  3(  4)",1,0,0,3,4,25.0,25.0,25.0,05018,,0,,,,,
1325,ヒルズ　,Ｍ．ヒルズ,ｴﾑ.ﾋﾙｽﾞ,"Michael Hills",外国,63,1963. 1.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05066,,0,,,,,
1326,ヒルス　,Ｗ．ヒルス,ﾋﾙｽ.ｳｪｲﾝ,"Wayne Hillis",外国,63,1962. 6.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  0-  4-  7( 15)",4,0,4,7,15,26.7,26.7,53.3,05310,,0,,,,,
1327,ヒューズ,Ｒ．ヒューズ,"ﾋｭｰｽﾞ ﾘﾁｬｰﾄﾞ","Richard Hughes",外国,53,1973. 1.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  6- 13-  9- 79(107)",6,13,9,79,107,5.6,17.8,26.2,00890,,0,,,,,
1328,ヒューイ,Ｌ．ヒューイットソン,"ﾋｭｰｲｯﾄｿﾝ ﾗｲﾙ","Lyle Hewitson",外国,28,1997.10.30,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 19- 15- 16-100(150)",19,15,16,100,150,12.7,22.7,33.3,05596,,0,,,,,
1329,ピユー　,Ｃ．ピユー,ﾋﾟﾕｰ.ｸﾘｽﾄﾌ,"Christophe Pieux",外国,58,1967. 4.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05431,,0,,,,,
1330,ビュイッ,Ｗ．ビュイック,ﾋﾞｭｲｯｸ.ｳｨﾘｱﾑ,"William Buick",外国,37,1988. 7.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 53- 43- 33-260(389)",53,43,33,260,389,13.6,24.7,33.2,05495,,0,,,,,
1331,ピゴット,Ｌ．ピゴット,ｴﾙ.ﾋﾟｺﾞｯﾄ,,外国,90,1935.11. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  1-  4(  6)",0,1,1,4,6,0.0,16.7,33.3,00971,,0,,,,,
1332,ビエトリ,Ｇ．ビエトリーニ,ﾋﾞｴﾄﾘｰﾆ.ｶﾞﾌﾞﾘｴﾙ,"Gabriele Bietolini",外国,52,1973. 6. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3-  4-  5- 38( 50)",3,4,5,38,50,6.0,14.0,24.0,05314,,0,,,,,
1333,ピーヒュ,Ｒ．ピーヒュレク,ﾋﾟｰﾋｭﾚｸ.ﾚﾈ,"Rene Piechulek",外国,38,1987. 4.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  6-  7- 70( 87)",4,6,7,70,87,4.6,11.5,19.5,05661,,0,,,,,
1334,ビードマ,Ｄ．ビードマン,ﾃﾞｨｰ.ﾋﾞｰﾄﾞﾏﾝ,Darren.Beadman,外国,60,1965.11.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  2-  4- 20( 27)",1,2,4,20,27,3.7,11.1,25.9,00888,,0,,,,,
1335,ピーク　,Ｄ．ピーク,ﾃﾞｨｰ.ﾋﾟｰｸ,,外国,80,1945.10. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  2-  2(  4)",0,0,2,2,4,0.0,0.0,50.0,00994,,0,,,,,
1336,バンス　,Ｒ．Ｄ．バンス,ｱｰﾙ.ﾃﾞｲ.ﾊﾞﾝｽ,R.D.Vance,外国,66,1959. 9.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  9( 10)",0,0,1,9,10,0.0,0.0,10.0,00973,,0,,,,,
1337,バレット,Ｎ．バレット,ｴﾇ.ﾊﾞﾚｯﾄ,,外国,----,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  2(  3)",0,1,0,2,3,0.0,33.3,33.3,00931,,0,,,,,
1338,バルジュ,Ｄ．バルジュー,ﾊﾞﾙｼﾞｭｰ.ﾀﾞﾘｵ,"Dario Vargiu",外国,49,1976. 8.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,123-123-140-1151(1537),123,123,140,1151,1537,8.0,16.0,25.1,05336,,0,,,,,
1339,バルザロ,Ｍ．バルザローナ,ﾊﾞﾙｻﾞﾛｰﾅ.ﾐｶｴﾙ,"Mickael Barzalona",外国,34,1991. 8. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3-  2-  0-  6( 11)",3,2,0,6,11,27.3,45.5,45.5," 22- 28- 14-173(237)",22,28,14,173,237,9.3,21.1,27.0,05504,,0,,,,,112
1340,パリッシ,Ｃ．パリッシュ,ﾊﾟﾘｯｼｭ.ｺｰﾘｰ,"Cory Parish",外国,36,1989. 6.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05551,,0,,,,,
1341,ハリソン,Ｄ．ハリソン,ﾊﾘｿﾝ.ﾃﾞﾋﾞｯﾄﾞ,"David Harrison",外国,53,1972. 7. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  8-  7-  6- 78( 99)",8,7,6,78,99,8.1,15.2,21.2,05264,,0,,,,,
1342,ハリス　,Ｗ．ハリス,ﾀﾞﾌﾞﾘｭ.ﾊﾘｽ,"Wayne Harris",外国,65,1960.12.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05005,,0,,,,,
1343,バラオ　,Ｆ．バラオ,ﾊﾞﾗｵ.ﾌｧﾌﾞﾘｽ,"Fabrice Barrao",外国,53,1972. 3.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05319,,0,,,,,
1344,ハナガン,Ｐ．ハナガン,ﾊﾅｶﾞﾝ.ﾎﾟｰﾙ,"Paul Hanagan",外国,45,1980. 9. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05484,,0,,,,,
1345,バデル　,Ａ．バデル,ﾊﾞﾃﾞﾙ.ｱﾚｸｼ,"Alexis Badel",外国,36,1989.12. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12-  6-  5- 46( 69)",12,6,5,46,69,17.4,26.1,33.3," 13-  6-  5- 53( 77)",13,6,5,53,77,16.9,24.7,31.2,05644,,0,,,,,75
1346,バデル　,Ａ．バデル,ｴｰ.ﾊﾞﾃﾞﾙ,A.Badel,外国,74,1951.11.29,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  3(  4)",0,1,0,3,4,0.0,25.0,25.0,00876,,0,,,,,
1347,パスキエ,Ｓ．パスキエ,ﾊﾟｽｷｴ.ｽﾃﾌｧﾝ,"Stephane Pasquier",外国,48,1978. 1.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  2- 19( 23)",1,1,2,19,23,4.3,8.7,17.4,05376,,0,,,,,
1348,バシュロ,Ｔ．バシュロ,ﾊﾞｼｭﾛ.ﾃｵ,"Theo Bachelot",外国,33,1992. 9.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 11- 17- 13- 66(107)",11,17,13,66,107,10.3,26.2,38.3,05621,,0,,,,,
1349,パコー　,Ｃ．パコー,ﾊﾟｺｰ.ｺﾗﾘｰ,"Coralie Pacaut",外国,27,1998. 9.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  8(  9)",0,0,1,8,9,0.0,0.0,11.1,05623,,0,,,,,
1350,パク　　,"パク テージョン","ﾊﾟｸ ﾃｰｼﾞｮﾝ","Park Tae-Jong",外国,60,1965.12.20,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  3(  4)",0,1,0,3,4,0.0,25.0,25.0,05015,,0,,,,,
1351,パウエル,Ｂ．パウエル,ﾋﾞｰ.ﾊﾟｳｴﾙ,"Brendan Powell",外国,65,1960.10.14,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  1-  2(  5)",1,1,1,2,5,20.0,40.0,60.0,05045,,0,,,,,
1352,ハーネッ,Ｗ．ハーネット,"ﾀﾞﾌﾞﾘｭｰ ﾊｰﾈｯﾄ","Willie Harnett",外国,57,1968. 8.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  4(  5)",0,1,0,4,5,0.0,20.0,20.0,05016,,0,,,,,
1353,パートン,Ｚ．パートン,ﾊﾟｰﾄﾝ.ｻﾞｶﾘｰ,"Zachary Purton",外国,43,1983. 1. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 19-  7- 10- 72(108)",19,7,10,72,108,17.6,24.1,33.3,05454,,0,,,,,
1354,ノレン　,Ｌ．ノレン,ﾉﾚﾝ.ﾙｰｸ,"Luke Nolen",外国,45,1980. 3.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05486,,0,,,,,
1355,ニヤマパ,Ｊ．ニヤマパ,ｼﾞｪｲ.ﾆﾔﾏﾊﾟ,"Jaruek Niyamapha",外国,63,1963. 2. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  2-  4(  7)",1,0,2,4,7,14.3,14.3,42.9,00997,,0,,,,,
1356,ニップ　,Ｔ．ニップ,ﾃｨｰ.ﾆｯﾌﾟ,"Teng Kuan Nip",外国,55,1971. 2.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05177,,0,,,,,
1357,ナレドゥ,Ｍ．ナレドゥ,ｴﾑ.ﾅﾚﾄﾞｩ,"Malesh Narredu",外国,57,1968.10. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05052,,0,,,,,
1358,ナカタニ,Ｃ．ナカタニ,ﾅｶﾀﾆ.ｺｰﾘｰ,"Corey S.Nakatani",外国,55,1970.10.21,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7-  7-  5- 33( 52)",7,7,5,33,52,13.5,26.9,36.5,00883,,0,,,,,
1359,ナームジ,Ｐ．ナームジュム,"ﾅｰﾑｼﾞｭﾑ ﾊﾟﾃｨﾊﾟﾝ","Phatiphan Namjoom",外国,41,1984. 6.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05251,,0,,,,,
1360,ドワイヤ,Ｍ．ドワイヤー,ﾄﾞﾜｲﾔｰ.ﾏｰﾃｨﾝ,"Martin Dwyer",外国,50,1975. 6.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05375,,0,,,,,
1361,トロ　　,Ｆ．トロ,ｴﾌ.ﾄﾛ,F.Toro,外国,85,1941. 1.31,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,00832,,0,,,,,
1362,トリンダ,Ａ．トリンダー,ﾄﾘﾝﾀﾞｰ.ｱﾀﾞﾑ,"Adam Trinder",外国,46,1979. 9.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05362,,0,,,,,
1363,ドライジ,Ｉ．ドライジャー,ｱｲ.ﾄﾞﾗｲｼﾞｬｰ,"Irwin Driedger",外国,71,1955. 1. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,00808,,0,,,,,
1364,ドミンゴ,Ｅ．ドミンゴＪｒ．,ｲｰ.ﾄﾞﾐﾝｺﾞｼﾞﾕﾆｱ,,外国,----,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  1(  2)",1,0,0,1,2,50.0,50.0,50.0,00938,,0,,,,,
1365,ドミンゲ,Ｒ．ドミンゲス,ﾄﾞﾐﾝｹﾞｽ.ﾗﾓﾝ,"Ramon Dominguez",外国,49,1976.11.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1- 14( 15)",0,0,1,14,15,0.0,0.0,6.7,05392,,0,,,,,
1366,トーレス,Ｃ．トーレス,ﾄｰﾚｽ.ｸﾘｽﾃｨｱﾝ,"Cristian Torres",外国,28,1997. 7. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05677,,0,,,,,174
1367,ドゥルー,Ｏ．ドゥルーズ,ﾄﾞｩﾙｰｽﾞ.ｵﾘﾋﾞｴ,"Olivier Doleuze",外国,53,1972. 4.19,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05433,,0,,,,,
1368,ドゥーメ,Ｔ．ドゥーメン,ﾃｨｰ.ﾄﾞｩｰﾒﾝ,"Thierry Doumen",外国,46,1979. 4.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  0(  1)",0,1,0,0,1,0.0,100.0,100.0,05234,,0,,,,,
1369,ドイル　,Ｈ．ドイル,ﾄﾞｲﾙ.ﾎﾘｰ,"Hollie Doyle",外国,29,1996.10.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  2-  1- 19( 24)",2,2,1,19,24,8.3,16.7,20.8," 20- 22- 22-255(319)",20,22,22,255,319,6.3,13.2,20.1,05625,,0,,,,,117
1370,ドイル　,Ｂ．ドイル,ﾄﾞｲﾙ.ﾌﾞﾚｯﾄ,"Brett Doyle",外国,53,1972. 8.30,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  8-  8-  6- 69( 91)",8,8,6,69,91,8.8,17.6,24.2,05316,,0,,,,,
1371,デルペッ,Ａ．デルペッチ,ﾃﾞﾙﾍﾟｯﾁ.ｱﾝｿﾆｰ,"Anthony Delpech",外国,57,1969. 2.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05385,,0,,,,,
1372,テリアン,Ｈ．テリアン,ﾃﾘｱﾝ.ﾕﾍﾞｰﾙ,"Hubert Terrien",外国,50,1975. 7.30,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05400,,0,,,,,
1373,テュリエ,Ｔ．テュリエ,ﾃｭﾘｴ.ﾃｨｴﾘ,"Thierry Thulliez",外国,52,1973. 8. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1- 17( 18)",0,0,1,17,18,0.0,0.0,5.6,05031,,0,,,,,
1374,デュプレ,Ｍ．デュプレシス,ﾃﾞｭﾌﾟﾚｼｽ.ﾏｰｸ,"Mark Du Plessis",外国,50,1975.10. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  5-  6-111(127)",5,5,6,111,127,3.9,7.9,12.6,05460,,0,,,,,
1375,デマリア,Ｌ．デマリア,ﾃﾞﾏﾘｱ.ﾙｶ,"Luca Demaria",外国,55,1970. 5.19,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  3-  6( 11)",1,1,3,6,11,9.1,18.2,45.5,05359,,0,,,,,
1376,デフリー,Ａ．デフリース,"ﾃﾞﾌﾘｰｽ ｱｰﾉﾙﾀﾞｽ","Arnoldus de Vries",外国,56,1969. 7.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  3(  4)",0,0,1,3,4,0.0,0.0,25.0,05518,,0,,,,,
1377,デニス　,Ｌ．デニス,ｴﾙ.ﾃﾞﾆｽ,,外国,----,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,00936,,0,,,,,
1378,デットー,Ｇ．デットーリ,ｼﾞｰ.ﾃﾞｯﾄｰﾘ,,外国,84,1941. 4.25,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  2-  1-  8( 11)",0,2,1,8,11,0.0,18.2,27.3,00969,,0,,,,,
1379,デットー,Ｌ．デットーリ,ﾃﾞｯﾄｰﾘ.ﾗﾝﾌﾗﾝｺ,"Lanfranco Dettori",外国,55,1970.12.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 27- 17- 11- 58(113)",27,17,11,58,113,23.9,38.9,48.7,00875,,0,,,,,
1380,デザーモ,Ｋ．デザーモ,ﾃﾞｻﾞｰﾓ.ｹﾝﾄ,"Kent Desormeaux",外国,56,1970. 2.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"121- 88- 74-313(596)",121,88,74,313,596,20.3,35.1,47.5,00897,,0,,,,,
1381,ディレマ,Ｖ．ディレマ,ﾌﾞｲ.ﾃﾞｨﾚﾏ,"Valentino Dilema",外国,54,1971.10.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05175,,0,,,,,
1382,ディレマ,Ｐ．ディレマ,ﾋﾟｰ.ﾃﾞｨﾚﾏ,"Patricio Dilema",外国,47,1978.10. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05082,,0,,,,,
1383,ディット,Ｌ．ディットマン,ｴﾙ.ﾃﾞｨｯﾄﾏﾝ,L.Dittman,外国,73,1952. 7. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  2-  0-  2(  5)",1,2,0,2,5,20.0,60.0,60.0,00827,,0,,,,,
1384,ティザー,Ｊ．ティザード,ﾃｨｻﾞｰﾄﾞ.ｼﾞｮｴﾙ,"Joel Tizzard",外国,46,1979.12.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05346,,0,,,,,
1385,ティータ,Ｋ．ティータン,ﾃｨｰﾀﾝ.ｶﾘｽ,"Karis Teetan",外国,35,1990. 6. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1- 11( 12)",0,0,1,11,12,0.0,0.0,8.3," 10-  3-  7- 98(118)",10,3,7,98,118,8.5,11.0,16.9,05533,,0,,,,,143
1386,ディー　,Ｍ．ディー,ﾃﾞｨｰ.ﾏｲｹﾙ,"Michael Dee",外国,29,1996. 4.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5- 10- 10-105(130)",5,10,10,105,130,3.8,11.5,19.2,"  5- 10- 10-105(130)",5,10,10,105,130,3.8,11.5,19.2,05674,,0,,,,,95
1387,デイ　　,Ｐ．デイ,ﾋﾟｰ.ﾃﾞｲ,"Pat Day",外国,72,1953.10.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  6-  5- 22( 33)",0,6,5,22,33,0.0,18.2,33.3,00824,,0,,,,,
1388,ツェ　　,Ｊ．ツェ,ｼﾞｪｰ.ﾂｪ,"Jackie Chin Kuk Tse",外国,55,1970. 9.30,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  0-  3(  5)",1,1,0,3,5,20.0,40.0,40.0,05032,,0,,,,,
1389,チン　　,Ｋ．チン,ｹｲ.ﾁﾝ,"Kin Ming Chin",外国,51,1974. 7.20,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  0-  1-  6(  9)",2,0,1,6,9,22.2,22.2,33.3,05083,,0,,,,,
1390,チョン　,Ｃ．チョン,ｼｰ.ﾁｮﾝ,"Changki Chun",外国,59,1966.12. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05076,,0,,,,,
1391,チョクセ,Ｒ．チョクセイ,ｱｰﾙ.ﾁｮｸｾｲ,"Ruzaan Choksey",外国,51,1975. 1. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05131,,0,,,,,
1392,チュルグ,Ｍ．チュルグン,ｴﾑ.ﾁｭﾙｸﾞﾝ,,外国,87,1938.11. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  3(  4)",0,1,0,3,4,0.0,25.0,25.0,00954,,0,,,,,
1393,チャベス,Ｏ．チャベス,ﾁｬﾍﾞｽ.ｵｽｶｰ,"Oscar Chavez",外国,51,1974. 8.21,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05493,,0,,,,,
1394,チャドウ,Ｍ．チャドウィック,ﾁｬﾄﾞｳｨｯｸ.ﾏｼｭｰ,"Matthew Chadwick",外国,35,1990. 7.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,05465,,0,,,,,
1395,チェン　,Ｃ．チェン,"ﾁｪﾝ ﾁｮﾝ ﾀｯﾄ","Cheng Cheong Tat",外国,45,1980. 3.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  1(  2)",1,0,0,1,2,50.0,50.0,50.0,05253,,0,,,,,
1396,ダン　　,Ｄ．ダン,ﾀﾞﾝ.ﾄﾞｩｳｪｲﾝ,"Dwayne Dunn",外国,52,1973. 6. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05407,,0,,,,,
